51,51,51,51,51
76,76,76,75,75
101,100,100,100,100
125,125,125,125,125
150,150,150,150,150
175,175,175,175,175
200,200,200,199,199
224,224,224,224,224
249,249,249,249,249
274,274,274,274,274
299,299,299,299,299
336,336,336,336,336
373,373,373,373,373
398,398,398,398,398
423,423,423,423,423
447,447,447,447,447
472,472,472,472,472
497,497,497,497,497
522,522,522,522,522
546,547,547,547,547
571,571,571,571,571
596,596,596,596,596
621,621,621,621,621
